Series Name	Series Code	Country Name	Country Code	1994 [YR1994]	1995 [YR1995]	1996 [YR1996]	1997 [YR1997]	1998 [YR1998]	1999 [YR1999]	2000 [YR2000]	2001 [YR2001]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Egypt, Arab Rep.	EGY	..	0.8	..	..	..	0.4	..	..	..	..	0.8	..	..	..	0.7	..	0.3	..	0.2	..	..	0.2	..	0.6	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	El Salvador	SLV	..	5.4	5.9	..	11.3	9	5.2	6.1	6.3	7.7	4.9	4.1	2	1.1	1.8	1.8	1.5	1.1	1	0.8	0.7	0.4	0.5	0.4	0.3
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Equatorial Guinea	GNQ	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Eritrea	ERI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Estonia	EST	..	..	..	..	..	..	..	..	..	1.2	0.5	0.3	0.4	0.3	0.2	0.2	0.4	0.5	0.4	0.6	0.5	0.4	0.3	0.2	0.2
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Eswatini	SWZ	51.5	..	..	..	..	..	18	..	..	..	..	..	..	..	..	17	..	..	..	..	..	..	9.8	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Ethiopia	ETH	..	27.8	..	..	..	17.4	..	..	..	..	9.2	..	..	..	..	..	9.8	..	..	..	..	8.9	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Fiji	FJI	..	..	..	..	..	..	..	..	0.4	..	..	..	..	..	0.2	..	..	..	..	0.1	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Finland	FIN	..	0	..	..	..	..	0	..	..	0	0	0	0.1	0	0	0	0	0	0	0.1	0	0.1	0	0.1	0
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	France	FRA	0	..	..	..	..	..	0	..	..	0.1	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Gabon	GAB	..	..	..	..	..	..	..	..	..	..	..	1.8	..	..	..	..	..	..	..	..	..	..	..	0.8	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Gambia, The	GMB	..	..	..	..	36.3	..	..	..	..	17.9	..	..	..	..	..	..	7.6	..	..	..	..	2.3	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Georgia	GEO	..	..	1	5.6	5.4	6.4	6.9	6.5	3	3.2	3.1	3.2	3.1	3.4	2.9	3	3.6	3.6	2.4	1.6	1.2	0.9	0.9	1.2	1.2
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Germany	DEU	0.1	0.2	..	..	0	..	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Ghana	GHA	..	..	..	..	11.5	..	..	..	..	..	..	7.6	..	..	..	..	..	..	3.2	..	..	..	4.4	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Greece	GRC	..	1.1	..	..	..	..	0.4	..	..	0.4	0.5	0.2	0.3	0.4	0.3	0.5	0.7	0.9	0.6	0.3	0.8	0.8	0.6	0.4	0.1
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Guatemala	GTM	..	..	..	..	5.1	..	3.3	..	..	..	..	..	3.8	..	..	..	..	..	..	..	2.6	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Guinea	GIN	19.8	..	..	..	..	..	..	..	26.9	..	..	..	..	22.7	..	..	..	..	10.6	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Guinea-Bissau	GNB	..	..	..	..	..	..	..	..	20.1	..	..	..	..	..	..	..	32	..	..	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Guyana	GUY	..	..	..	..	5.8	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Haiti	HTI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	8	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Honduras	HND	10.9	11.4	13.7	8	13.3	13.2	..	9.1	10.3	12.9	12.3	13.3	10.8	6.7	6.8	4.9	5.5	7.2	8.3	6.8	5.5	5.8	6.2	5.7	5.8
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Hungary	HUN	..	..	..	..	..	..	..	..	..	..	0.1	0.3	0.1	0	0	0	0	0	0.2	0	0.4	0.3	0.7	0.3	0.1
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Iceland	ISL	..	..	..	..	..	..	..	..	..	0	0.1	0	0.1	0	0	0.1	0.1	0.1	0	0	0	0	0	0	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	India	IND	..	..	..	..	..	..	..	..	..	..	9.8	..	..	..	..	7.5	..	4.6	..	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Indonesia	IDN	..	..	11.4	..	20.3	8.6	7.7	6.4	3.3	3.5	4.4	3.5	5.4	3.9	3.6	2.9	2.3	1.8	1.4	1.1	0.9	0.9	0.8	0.6	0.5
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Iran, Islamic Rep.	IRN	0.6	..	..	..	0.5	..	..	..	..	..	..	0.1	0.1	..	..	0.3	..	..	..	0	0.1	0.1	0.1	0.1	0.1
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Iraq	IRQ	..	..	..	..	..	..	..	..	..	..	..	..	0.2	..	..	..	..	..	0.3	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Ireland	IRL	0.1	0.1	0.1	..	..	..	0	..	0	0.1	0	0	0.1	0	0.1	0.4	0.3	0.4	0.1	0.5	0.3	0.3	0.1	0.2	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Israel	ISR	..	..	..	0.2	..	..	..	0	..	..	..	0.3	..	0.2	..	..	0.1	..	0.3	..	0.2	..	0	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Italy	ITA	..	0.5	..	..	1.4	..	1.1	..	..	0.5	0.5	0.5	0.5	0.5	0.5	0.6	0.9	0.9	0.8	1.1	0.9	1.4	1.2	1.1	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Jamaica	JAM	..	..	0.8	..	..	0.7	..	..	0.7	..	0.4	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Japan	JPN	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0.2	..	0	..	..	0.2	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Jordan	JOR	..	..	..	0.3	..	..	..	..	0.1	..	..	..	0	..	0	..	0	..	..	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Kazakhstan	KAZ	..	..	1.5	..	..	..	..	2.2	1.2	0.7	0.3	1.3	0.1	0	0	0	0	0	0	0	0	0	0	0	0
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Kenya	KEN	11.4	..	..	9.9	..	..	..	..	..	..	..	16.4	..	..	..	..	..	..	..	..	..	11.7	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Kiribati	KIR	..	..	..	..	..	..	..	..	..	..	..	..	3.3	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Korea, Rep.	KOR	..	..	..	..	..	..	..	..	..	..	..	..	0.2	..	0.2	..	0.2	..	0.1	..	0.1	..	0	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Kosovo	XKX	..	..	..	..	..	..	..	..	..	0.2	..	0.8	0.5	..	..	0.5	0.4	0.2	0.1	0.1	0.2	0.1	0.1	0.2	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Kyrgyz Republic	KGZ	..	..	..	..	..	..	9.2	7.4	6.9	4.7	2.1	2.2	1.3	1.5	0.5	0.2	0.9	0.1	0.6	0.3	0.2	0.3	0.2	0.2	0.1
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Lao PDR	LAO	..	..	..	15	..	..	..	..	7.5	..	..	..	..	5.9	..	..	..	..	3	..	..	..	..	..	1.8
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Latvia	LVA	..	..	..	..	..	..	..	..	..	..	1.2	1.2	0.8	0.3	0.5	0.9	0.7	0.5	0.5	0.6	0.4	0.4	0.3	0.3	0.2
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Lebanon	LBN	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	0	..	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Lesotho	LSO	28.6	..	..	..	..	..	..	..	32.5	..	..	..	..	..	..	..	..	..	..	..	..	..	..	9.4	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Liberia	LBR	..	..	..	..	..	..	..	..	..	..	..	..	..	30.3	..	..	..	..	..	..	13.1	..	14.5	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Lithuania	LTU	..	..	..	..	..	..	..	..	..	..	1.3	0.9	0.7	0.8	0.9	1.2	1	0.5	0.7	0.5	0.7	0.5	0.7	0.8	0.5
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Luxembourg	LUX	0	..	..	0	..	..	0	..	..	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.2	0.1	0.2	0.1
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Madagascar	MDG	..	..	..	28.5	..	27.5	..	34.1	..	..	..	30.4	..	..	..	..	37.9	..	40.3	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Malawi	MWI	..	..	..	24	..	..	..	..	..	..	30.7	..	..	..	..	..	33.3	..	..	..	..	..	28.7	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Malaysia	MYS	..	0.2	..	0	..	..	..	..	..	0.2	..	..	0.1	..	0.1	..	..	0	..	0	..	0	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Maldives	MDV	..	..	..	..	..	..	..	..	1	..	..	..	..	..	..	0.7	..	..	..	..	..	..	0	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Mali	MLI	52.5	..	..	..	..	..	..	23.5	..	..	..	..	18.2	..	..	15.8	..	..	..	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Malta	MLT	..	..	..	..	..	..	..	..	..	..	..	..	0.2	0.2	0.1	0.2	0.1	0.1	0	0	0	0.1	0.1	0.1	0.1
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Mauritania	MRT	..	6.1	..	..	..	..	5.6	..	..	..	4.3	..	..	..	2.8	..	..	..	..	..	1.4	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Mauritius	MUS	..	..	..	..	..	..	..	..	..	..	..	..	0.1	..	..	..	..	..	0.1	..	..	..	..	0	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Mexico	MEX	2.3	..	7.2	..	4.3	..	2.9	..	2.1	..	2	2.2	1.2	..	1.7	..	1.6	..	1.2	..	1.1	..	0.6	..	0.5
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Micronesia, Fed. Sts.	FSM	..	..	..	..	..	..	..	..	..	..	..	1.6	..	..	..	..	..	..	..	5.5	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Moldova	MDA	..	..	..	4.6	8.8	12.3	10.7	7.7	3.8	1.4	1.8	3.2	0.6	0.3	0.2	0.1	0.1	0	0	0	0	0	0	0	0
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Mongolia	MNG	..	2.5	..	..	7.2	..	..	..	2.1	..	..	..	..	0.2	..	..	0.1	0.1	0.1	..	0	..	0.1	..	0.1
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Montenegro	MNE	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1.3	1	0.4	0.3	1.5	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Morocco	MAR	..	..	..	..	1.4	..	1.2	..	..	..	..	..	0.6	..	..	..	..	..	..	0.2	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Mozambique	MOZ	..	..	49.2	..	..	..	..	..	40.8	..	..	..	..	..	32.1	..	..	..	..	..	28.6	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Myanmar	MMR	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1.1	..	0.2	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Namibia	NAM	..	..	..	..	..	..	..	..	..	10.6	..	..	..	..	..	7	..	..	..	..	..	4.8	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Nepal	NPL	..	23.7	..	..	..	..	..	..	..	16.5	..	..	..	..	..	..	3	..	..	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Netherlands	NLD	..	..	..	..	..	0.2	..	..	..	..	0.1	0.1	0	0	0.1	0.1	0	0.1	0	0	0	0	0	0.1	0.1
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Nicaragua	NIC	..	..	..	..	10.7	..	..	5.7	..	..	..	2.2	..	..	..	2	..	..	..	..	0.8	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Niger	NER	43.4	..	..	..	..	..	..	..	..	..	..	35.8	..	29.1	..	..	..	14.2	..	..	13.7	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Nigeria	NGA	..	..	32.4	..	..	..	..	..	..	23.2	..	..	..	..	..	23.4	..	..	..	..	..	..	..	..	12.5
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	North Macedonia	MKD	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	4.3	6.1	4.2	2.9	1.9	2	2.2	1.7	1.9	1.2
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Norway	NOR	..	0.2	..	..	..	..	0.2	..	..	0.1	0.2	0.1	0.1	0.1	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.2
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Pakistan	PAK	..	..	3	..	5.3	..	..	6.5	..	..	3.9	3.1	..	2.4	..	..	1.2	1.1	..	0.9	..	0.5	..	..	0.6
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Palau	PLW	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Panama	PAN	..	11	..	9.2	9.9	8.5	6.5	8	4.5	4.6	4	3.8	4.5	2.7	1.4	0.8	1.3	0.9	1.3	0.8	1.1	0.5	0.5	0.9	0.5
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Papua New Guinea	PNG	..	..	21.3	..	..	..	..	..	..	..	..	..	..	..	..	14.8	..	..	..	..	..	..	..	..	..
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Paraguay	PRY	..	5	..	4.4	..	3.9	..	3.1	4.7	2.6	1.6	1.9	2.3	2.3	1.2	1.5	1.6	1.5	0.8	0.6	0.6	0.4	0.3	0.1	0.3
Poverty gap at $1.90 a day (2011 PPP) (%)	SI.POV.GAPS	Peru	PER	..	..	..	7	6.6	6.8	6.1	6.4	5.6	3.8	4.5	5.4	4.6	3.7	2.8	2.2	1.6	1.4	1.4	1.2	1	1	0.9	0.9	0.7
